Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,147.35
2006,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,207.68
2007,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,212.71
2008,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,210.22
2009,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,210.19
2010,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,222.63
2011,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,233.65
2012,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,245.54
2013,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,250.85
2014,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,217.15
2015,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,234.6
2016,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,252.61
2017,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,246.75
2018,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,239.81
2019,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,220.0
2020,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,218.67
2021,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,213.52
2022,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,212.09
2023,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,208.53
2024,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,211.12
