Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,None,None,PT,2025-03-24T00:00:00,2022-2024,15.8
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,10.7
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,13.4
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,14.7
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,15.2
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,15.0
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,14.9
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,15.8
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,16.2
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,M,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,10.2
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,M,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,12.8
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,M,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,14.0
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,M,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,14.5
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,M,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,14.3
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,M,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,14.2
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,M,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,15.0
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,M,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,15.4
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,None,None,NUMBER,2025-03-24T00:00:00,2022-2024,1142.8
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,None,None,NUMBER,2025-03-24T00:00:00,2022-2024,1473.7
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,None,None,NUMBER,2025-03-24T00:00:00,2022-2024,1664.8
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,None,None,NUMBER,2025-03-24T00:00:00,2022-2024,1770.2
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,None,None,NUMBER,2025-03-24T00:00:00,2022-2024,1801.3
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,None,None,NUMBER,2025-03-24T00:00:00,2022-2024,1835.8
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,None,None,NUMBER,2025-03-24T00:00:00,2022-2024,2003.6
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,None,None,NUMBER,2025-03-24T00:00:00,2022-2024,2109.2
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,336.8
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,434.2
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,490.6
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,521.9
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,531.7
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,542.7
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,593.6
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,627.3
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,313.0
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,404.4
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,457.6
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,487.9
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,497.9
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,509.0
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,557.4
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,204,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,587.2
