Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,F,Y25T54,PT,2025-03-05T00:00:00,2022,4.8494
2021,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,F,Y25T54,PT,2025-03-05T00:00:00,2022,3.87251
2022,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,F,Y25T54,PT,2025-03-05T00:00:00,2022,2.9649
2004,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Unreliable - Low reliability Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,F,Y55T64,PT,2025-03-05T00:00:00,2022,0.0
2009,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Unreliable - Low reliability Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,F,Y55T64,PT,2025-03-05T00:00:00,2022,1.3
2011,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Unreliable - Low reliability Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,F,Y55T64,PT,2025-03-05T00:00:00,2022,2.02321
2014,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Unreliable - Low reliability Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,F,Y55T64,PT,2025-03-05T00:00:00,2022,4.24115
2019,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Unreliable - Low reliability Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,F,Y55T64,PT,2025-03-05T00:00:00,2022,0.66086
2021,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Unreliable - Low reliability Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,F,Y55T64,PT,2025-03-05T00:00:00,2022,1.14309
2022,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Unreliable - Low reliability Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,F,Y55T64,PT,2025-03-05T00:00:00,2022,0.25911
2004,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y15T24,PT,2025-03-05T00:00:00,2022,61.4
