Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,925.9
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,1066.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,1071.8
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,1075.7
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,2137.4
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,2150.8
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,2393.4
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,2697.3
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,2968.3
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,3148.9
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,54976.7
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,54234.2
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,54052.3
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,52762.7
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,52232.9
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,51879.7
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_ART,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,462.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_ART,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,573.9
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_ART,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,722.8
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_ART,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,929.9
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_ART,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,1022.1
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_ART,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,1083.6
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_CRP,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,1899.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_CRP,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,1902.6
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_CRP,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,2291.6
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_CRP,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,3871.3
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_CRP,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,4814.1
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_CRP,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,5442.6
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_GRS,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,95097.5
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_GRS,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,94709.7
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_GRS,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,94004.4
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_GRS,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,93303.6
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_GRS,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,92641.3
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_GRS,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,92199.7
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_IWB,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,106.9
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_IWB,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,274.6
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_IWB,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,280.7
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_IWB,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,332.8
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_IWB,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,441.6
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_IWB,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,514.1
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_MGCI,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,156726.9
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_MGCI,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,156152.6
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_MGCI,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,155642.3
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_MGCI,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,154939.2
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_MGCI,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,154461.4
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_MGCI,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,154142.8
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_PSG,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_PSG,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_PSG,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_PSG,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_PSG,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_PSG,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.0
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_SAF,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,562.4
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_SAF,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,429.4
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_SAF,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,423.1
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_SAF,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,385.4
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_SAF,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,366.2
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_SAF,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,353.4
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_SHR,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,4191.4
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_SHR,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,4876.8
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_SHR,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,4870.9
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_SHR,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,4616.2
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_SHR,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,4407.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_SHR,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,4267.5
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_SNV,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,531.9
