Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2004,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.06154
2005,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.077363
2006,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.070903
2007,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.0958
2008,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.127028
2009,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.177683
2010,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.107988
2011,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.109665
2012,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.127054
2013,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.138768
2014,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.14986
2015,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.123714
2016,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.080486
2017,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.0805
2018,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.079754
2019,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.072262
2020,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.05225
2021,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.050395
2022,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.069389
2023,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.067086
2000,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.177668
2001,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.228772
2002,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.204675
2003,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.178297
2004,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.215493
2005,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.258028
2006,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.253093
2007,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.360647
2008,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.557358
2009,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.536527
2010,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.481294
2011,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.54407
2012,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.491312
2013,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.484338
2014,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.480776
2015,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.349814
2016,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.253931
2017,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.256068
2018,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.171834
2019,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.134243
2020,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.111867
2021,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.121445
2022,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.168258
2023,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.11719
