Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,47.0
2016,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,48.0
2017,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,48.2
2018,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,48.8
2019,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,49.2
2020,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,49.4
2021,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,49.8
2022,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,50.0
2023,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,50.2
2000,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.2
2001,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.2
2002,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.2
2003,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.2
2004,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.3
2005,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.3
2006,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.3
2007,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.3
2008,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.2
2009,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.3
2010,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.3
2011,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.3
2012,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.4
2013,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.5
2014,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.6
2015,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.7
2016,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.7
2017,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.9
2018,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,7.8
2019,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,8.0
2020,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,8.1
2021,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,8.2
2022,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,8.3
2023,A,0,30.0075,0.6,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,R,PT,2025-06-18T00:00:00,2023,8.4
2000,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,80.65
2001,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,80.1
2002,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,79.7
2003,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,79.2
2004,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,79.0
2005,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,78.6
2006,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,78.3
2007,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,78.2
2008,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,77.9
2009,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,77.9
2010,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,77.8
2011,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,77.7
2012,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,77.6
2013,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,77.6
2014,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,77.5
2015,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,77.5
2016,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,77.4
2017,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,77.2
2018,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,77.0
2019,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,76.6
2020,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,76.4
2021,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,75.7
2022,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,75.4
2023,A,0,94,43.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,U,PT,2025-06-18T00:00:00,2023,75.0
