Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2002,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,66.8015479069923
2003,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,56.6608944666511
2004,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,46.5316387283025
2005,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,37.1535135368479
2006,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,21.4383204383608
2007,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,20.7080710064909
2008,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,20.8444196333637
2009,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,31.9407468104196
2010,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,35.3911613090284
2011,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,33.9687833337354
2012,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,30.7446796123415
2013,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,35.3141708088895
2014,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,35.9601982257134
2015,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,56.7801551813803
2016,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,114.845094739154
2017,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,84.9404832711627
2018,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,84.2843625797666
2019,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,96.5947267900598
2020,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,148.159899274824
2021,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,108.138096106725
2022,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,62.7299371223109
2023,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,74.300461802381
2010,A,0,"International Monetary Fund, Financial Soundness Indicators.",FB_BNK_CAPA_ZS,24,PT,2025-03-19T00:00:00,2021,,9.25423745220691
2011,A,0,"International Monetary Fund, Financial Soundness Indicators.",FB_BNK_CAPA_ZS,24,PT,2025-03-19T00:00:00,2021,,9.44019549527723
2012,A,0,"International Monetary Fund, Financial Soundness Indicators.",FB_BNK_CAPA_ZS,24,PT,2025-03-19T00:00:00,2021,,9.55151655888075
2013,A,0,"International Monetary Fund, Financial Soundness Indicators.",FB_BNK_CAPA_ZS,24,PT,2025-03-19T00:00:00,2021,,10.2249569689872
