Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2003,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,37.5
2004,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,35.4
2005,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,33.5
2006,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,31.8
2007,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,30.5
2008,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,29.4
2009,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,28.8
2010,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,28.5
2011,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,28.6
2012,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,29.1
