Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2022,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,IS_2MT10M,NUMBER,2025-03-24T00:00:00,2023,57839.0
2023,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,IS_2MT10M,NUMBER,2025-03-24T00:00:00,2023,78014.0
2011,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,IS_GE10M,NUMBER,2025-03-24T00:00:00,2023,4.0
2012,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,IS_GE10M,NUMBER,2025-03-24T00:00:00,2023,6.0
2013,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,IS_GE10M,NUMBER,2025-03-24T00:00:00,2023,9.0
2014,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,IS_GE10M,NUMBER,2025-03-24T00:00:00,2023,1281.0
2015,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,IS_GE10M,NUMBER,2025-03-24T00:00:00,2023,3206.0
2016,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,IS_GE10M,NUMBER,2025-03-24T00:00:00,2023,8895.0
2017,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,IS_GE10M,NUMBER,2025-03-24T00:00:00,2023,12971.0
2018,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,IS_GE10M,NUMBER,2025-03-24T00:00:00,2023,17684.0
2019,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,IS_GE10M,NUMBER,2025-03-24T00:00:00,2023,19074.0
2020,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,IS_GE10M,NUMBER,2025-03-24T00:00:00,2023,40997.0
2021,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,IS_GE10M,NUMBER,2025-03-24T00:00:00,2023,54807.0
2022,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,IS_GE10M,NUMBER,2025-03-24T00:00:00,2023,57861.0
2023,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,IS_GE10M,NUMBER,2025-03-24T00:00:00,2023,33026.0
